real_outputs,fake_outputs,losses_g,losses_d
-0.012866239994764328,-0.00849243625998497,0.04285871610045433,9.719240188598633
0.02955077961087227,-0.008709997870028019,0.04778371751308441,9.648897171020508
0.09149184823036194,-0.01088646613061428,0.053837280720472336,9.53195858001709
0.2079794704914093,-0.001804243540391326,0.06369340419769287,9.338150024414062
0.4067884683609009,0.02223661169409752,0.06276781111955643,9.030600547790527
0.7479372024536133,0.07560873031616211,0.03156556561589241,8.538532257080078
1.2776317596435547,0.2210133969783783,-0.09998465329408646,7.827015399932861
2.0942578315734863,0.48685768246650696,-0.4647691249847412,6.810303688049316
3.182358503341675,0.9468492865562439,-0.9319286346435547,5.522492408752441
4.73857307434082,1.613959550857544,-1.8482153415679932,3.8371846675872803
6.61800479888916,2.667393684387207,-2.6148581504821777,2.022487163543701
8.988471984863281,3.581940174102783,-4.433243751525879,-0.47400856018066406
11.289445877075195,5.262448310852051,-3.352257251739502,-2.2740957736968994
13.116474151611328,4.319416046142578,-5.544668197631836,-5.8730573654174805
17.739215850830078,6.467684268951416,-5.0916056632995605,-9.551336288452148
19.667179107666016,6.403838157653809,-4.950725555419922,-12.39498233795166
23.17464828491211,6.463654041290283,-6.599982261657715,-16.415624618530273
27.11088752746582,8.235857009887695,-3.3664307594299316,-18.846454620361328
27.01367950439453,5.31198787689209,-2.05009126663208,-21.632213592529297
29.229162216186523,4.3644866943359375,-3.7579970359802246,-24.496204376220703
33.805198669433594,6.062984943389893,-1.573559284210205,-26.61101722717285
33.978965759277344,5.3506035804748535,-3.387784481048584,-26.847429275512695
36.76771545410156,7.412280082702637,-4.214759826660156,-26.6953125
38.73275375366211,8.80260181427002,-10.544637680053711,-26.741588592529297
46.03584289550781,15.01384449005127,-5.569856643676758,-26.637592315673828
38.42649841308594,10.471843719482422,-10.159645080566406,-24.361812591552734
43.63434600830078,14.167115211486816,-12.112798690795898,-24.785720825195312
48.10390090942383,16.419715881347656,-15.780437469482422,-26.876792907714844
51.66857147216797,20.19389533996582,-13.594263076782227,-26.1218204498291
48.44541931152344,17.776519775390625,-11.391698837280273,-25.95500946044922
42.522064208984375,15.614408493041992,-10.145811080932617,-22.778879165649414
41.06189727783203,15.251787185668945,-14.752516746520996,-21.866609573364258
41.900352478027344,20.02584457397461,-12.398038864135742,-17.734275817871094
34.71070861816406,19.60846710205078,-12.715319633483887,-11.610381126403809
32.33157730102539,19.777305603027344,-22.560165405273438,-9.774559020996094
38.84391784667969,31.06161117553711,-24.248615264892578,-4.633392810821533
36.29338455200195,31.689830780029297,-30.17460060119629,-2.6808786392211914
37.25281524658203,34.315155029296875,-25.964244842529297,-1.4095878601074219
34.67287063598633,29.85809326171875,-29.293609619140625,-3.97664475440979
37.138954162597656,32.36640548706055,-24.740934371948242,-3.802025318145752
34.0024299621582,28.025121688842773,-24.626842498779297,-5.260407447814941
34.535064697265625,26.761022567749023,-23.578079223632812,-7.125112533569336
32.09606170654297,26.15941619873047,-20.590572357177734,-5.185394763946533
30.459156036376953,23.057281494140625,-22.242128372192383,-6.7878313064575195
31.654069900512695,26.256685256958008,-23.89059829711914,-4.571846008300781
29.25156593322754,25.633251190185547,-14.083229064941406,-2.9876904487609863
21.297813415527344,16.945213317871094,-23.04946517944336,-4.09945011138916
29.406208038330078,25.598316192626953,-18.91016387939453,-3.2783620357513428
24.64464569091797,21.280803680419922,-19.45302963256836,-3.090120792388916
25.15570640563965,21.30374526977539,-17.453521728515625,-3.606217622756958
23.35491943359375,19.137365341186523,-13.078973770141602,-4.062776565551758
18.911502838134766,15.514913558959961,-16.271121978759766,-3.305044412612915
21.967575073242188,18.118263244628906,-21.3643741607666,-3.7047417163848877
24.886398315429688,23.596628189086914,-7.100177764892578,-1.0872570276260376
10.889183044433594,8.135011672973633,-5.141246795654297,-2.6930625438690186
9.83156967163086,6.555988311767578,3.5465750694274902,-3.207425594329834
1.3296785354614258,-1.4473906755447388,-0.20767465233802795,-2.7090845108032227
4.122932434082031,2.509171962738037,-11.59241771697998,-1.5540270805358887
15.408050537109375,13.851394653320312,-13.152847290039062,-1.489524006843567
16.47098159790039,14.908071517944336,-11.06020450592041,-1.4992899894714355
13.313241958618164,12.984485626220703,-5.881430625915527,-0.2713346779346466
7.869228363037109,7.451935291290283,-10.062227249145508,-0.3087465167045593
12.123031616210938,11.864596366882324,-14.519730567932129,-0.17589280009269714
14.798746109008789,15.928268432617188,-2.380880832672119,1.1960134506225586
3.7717227935791016,3.4957852363586426,-5.029023170471191,-0.12016665935516357
7.556124210357666,6.672031402587891,-17.218196868896484,-0.7166221141815186
