real_scores,fake_scores,losses_g,losses_d,real_outputs,fake_outputs
0.1875,0.5703125,1.8557617664337158,1.5492380857467651,0.42457205057144165,0.48354873061180115
1.0,0.0,2.8849191665649414,1.3577957153320312,0.9581575393676758,0.7217739820480347
1.0,0.8671875,4.08805513381958,0.5642961263656616,0.9373453855514526,0.38355958461761475
0.9921875,1.0,4.367791652679443,0.3008909821510315,0.9006704092025757,0.1701710969209671
0.9921875,1.0,4.440389156341553,0.286365807056427,0.8998664617538452,0.1521698534488678
0.9921875,1.0,5.044982433319092,0.2767965793609619,0.9267413020133972,0.173296257853508
0.9765625,1.0,5.349246978759766,0.23169666528701782,0.9102649688720703,0.1033865213394165
0.984375,1.0,5.518648624420166,0.17580115795135498,0.9340290427207947,0.09252963960170746
0.9921875,1.0,5.901258945465088,0.13746614754199982,0.9586048722267151,0.08168146759271622
0.984375,1.0,6.146663665771484,0.14170996844768524,0.9505491256713867,0.07658391445875168
1.0,1.0,6.212854385375977,0.10030129551887512,0.9631782174110413,0.05809875205159187
0.9921875,1.0,6.366920471191406,0.11319597065448761,0.9587183594703674,0.061993878334760666
0.984375,1.0,6.696721076965332,0.12519195675849915,0.9628974199295044,0.06508305668830872
0.9765625,1.0,6.379559516906738,0.09542353451251984,0.9599112272262573,0.0378219336271286
0.9921875,1.0,6.728184700012207,0.0945635437965393,0.9664328098297119,0.05434359982609749
1.0,1.0,7.099871635437012,0.07258522510528564,0.979420006275177,0.04931402578949928
1.0,1.0,7.080602645874023,0.07836365699768066,0.9710603952407837,0.0445496141910553
0.96875,1.0,7.176957607269287,0.11177673190832138,0.9582825899124146,0.04766394570469856
0.9921875,1.0,7.676972389221191,0.09536445140838623,0.9674279093742371,0.052105966955423355
0.9921875,1.0,7.464506149291992,0.083677276968956,0.9650924801826477,0.04047967866063118
1.0,1.0,8.37389850616455,0.1017591655254364,0.9683934450149536,0.06251507252454758
0.96875,1.0,7.098357200622559,0.08077552914619446,0.951549232006073,0.017971407622098923
1.0,0.9921875,9.721977233886719,0.11982456594705582,0.987430989742279,0.09556902945041656
0.9765625,1.0,8.379213333129883,0.10427556186914444,0.9340060353279114,0.002895109122619033
0.984375,1.0,6.359777927398682,0.0800003856420517,0.9619811177253723,0.030460642650723457
1.0,0.9140625,13.705307006835938,0.3040650188922882,0.9865484237670898,0.22606401145458221
0.953125,1.0,13.822240829467773,0.15933091938495636,0.8919994831085205,2.1367797671700828e-05
0.9921875,1.0,10.653729438781738,0.047837063670158386,0.9602441787719727,5.8046749472850934e-05
0.984375,1.0,5.401039123535156,0.04982135444879532,0.9748080968856812,0.009827295318245888
0.984375,0.3828125,16.090492248535156,1.1705290079116821,0.980143666267395,0.5710444450378418
0.5625,1.0,15.766881942749023,0.996698796749115,0.5254920125007629,7.528888090746477e-07
0.984375,1.0,13.27110481262207,0.03303633630275726,0.974297046661377,2.693769147299463e-06
0.9921875,1.0,7.049631118774414,0.03316725045442581,0.984957754611969,0.0010347443167120218
0.9921875,0.203125,15.205065727233887,2.327901601791382,0.9941124320030212,0.7598410844802856
0.9765625,1.0,16.422672271728516,0.09489824622869492,0.9247671365737915,3.36869584316446e-06
0.7578125,1.0,14.451504707336426,0.5017030239105225,0.7027115225791931,1.0296460004610708e-06
0.9609375,1.0,10.831592559814453,0.08979237824678421,0.9413800239562988,2.1031330106779933e-05
1.0,1.0,4.831316947937012,0.042785607278347015,0.9832035303115845,0.0238591767847538
0.9921875,0.0078125,15.125936508178711,3.5185039043426514,0.9814406633377075,0.9317638874053955
0.7578125,1.0,15.636137008666992,0.5687221884727478,0.7054100632667542,3.669860689115012e-06
0.8515625,1.0,13.87972354888916,0.30630359053611755,0.8056191205978394,3.02306625599158e-06
0.9765625,1.0,10.907299041748047,0.04965450242161751,0.9640518426895142,3.1140581995714456e-05
0.9921875,1.0,6.348883152008057,0.021600838750600815,0.9828746318817139,0.0021020302083343267
1.0,0.734375,10.455503463745117,0.5269123315811157,0.9788075685501099,0.3486376702785492
0.9765625,1.0,10.252880096435547,0.10537870228290558,0.9468250870704651,0.002358162309974432
0.984375,1.0,7.513986587524414,0.0869935005903244,0.933118462562561,0.003751348936930299
0.9921875,0.984375,7.614544868469238,0.2085469514131546,0.9649220705032349,0.1464606076478958
0.9375,1.0,9.083178520202637,0.30899590253829956,0.9008486270904541,0.14506538212299347
0.9140625,1.0,6.9545512199401855,0.26064613461494446,0.859993577003479,0.025321708992123604
0.9609375,0.6796875,14.602494239807129,0.6384270191192627,0.9466565847396851,0.40467825531959534
0.8515625,1.0,14.873146057128906,0.3460501432418823,0.7762123942375183,1.58974617079366e-05
0.9375,1.0,12.852001190185547,0.14979520440101624,0.8926135301589966,1.0964588000206277e-05
0.9921875,1.0,9.116788864135742,0.031575027853250504,0.9755476117134094,0.0002086297026835382
0.9921875,1.0,5.59819221496582,0.09296858310699463,0.98323655128479,0.06615643203258514
